short_name_ENG_i,short_name_ENG_j,f_ij,n_ij
"Dentists’, barbers’ or si",Metal furniture (excludin,2,1
"Dentists’, barbers’ or si","Leather sports gloves, mi",2,2
"Dentists’, barbers’ or si",Other non-metal secondary,2,1
"Dentists’, barbers’ or si",Machines for treating met,1,1
"Dentists’, barbers’ or si",Repair services of tarpau,1,1
"Dentists’, barbers’ or si",Flat pallets and pallet c,1,1
"Dentists’, barbers’ or si","Cases, boxes, crates, dru",1,2
Methanol (methyl alcohol),Distribution services of ,5,1
Methanol (methyl alcohol),Saturated acyclic hydroca,16,1
Methanol (methyl alcohol),Medicaments of alkaloids ,16,2
Methanol (methyl alcohol),Denatured ethyl alcohol a,15,1
Methanol (methyl alcohol),Acrylic acid and its salt,14,1
Methanol (methyl alcohol),Surface-active preparatio,13,1
Methanol (methyl alcohol),Steam and hot water suppl,12,1
Methanol (methyl alcohol),"Diazo-, azo- or azoxy-com",11,1
Methanol (methyl alcohol),Treatment and distributio,9,1
Methanol (methyl alcohol),Phenolphthalein; 1-Hydrox,9,2
Methanol (methyl alcohol),Methylamine; di- or trime,8,1
Methanol (methyl alcohol),Acyclic ethers and their ,8,2
Methanol (methyl alcohol),"Lysine and its esters, an",7,1
Methanol (methyl alcohol),Monoethanolamine and its ,6,2
Methanol (methyl alcohol),Medicaments containing in,6,2
Methanol (methyl alcohol),"Tetrahydrofuran, 2-Furald",6,2
Methanol (methyl alcohol),"Hormones, prostaglandins,",5,1
Methanol (methyl alcohol),Nitric acid; sulphonitric,5,1
Methanol (methyl alcohol),Thiocarbamates and dithio,4,1
Methanol (methyl alcohol),Sulphonamides,4,1
Methanol (methyl alcohol),Hydraulic brake fluids an,4,2
Methanol (methyl alcohol),Medicaments containing pe,4,2
Methanol (methyl alcohol),Glycosides and vegetable ,3,2
Methanol (methyl alcohol),Oil paints and varnishes ,2,1
Methanol (methyl alcohol),"Beauty, make-up and skin ",2,1
Methanol (methyl alcohol),Dibutyl and dioctyl ortho,2,1
Methanol (methyl alcohol),Ethyl acetate,2,3
Methanol (methyl alcohol),Fluorides; fluorosilicate,2,1
Methanol (methyl alcohol),Distilled and conductivit,2,1
Methanol (methyl alcohol),Dietary supplements (prod,1,1
Methanol (methyl alcohol),"Syringes, with or without",1,1
Methanol (methyl alcohol),Ureines and their derivat,1,1
Products of steel powder ,Sub-contracted operations,1,1
Silica sands (quartz sand,Ready-mixed concrete,29,3
Silica sands (quartz sand,Gravel and pebbles of a k,25,20
Silica sands (quartz sand,Bituminous mixtures based,13,1
Silica sands (quartz sand,Chalk,9,1
Silica sands (quartz sand,"Quartzite (crude, roughly",7,1
Silica sands (quartz sand,Turned metal parts for ta,4,1
Silica sands (quartz sand,Factory made mortars,4,2
Silica sands (quartz sand,Sub-contracted operations,1,1
Silica sands (quartz sand,"Marble and travertine, cr",1,1
Silica sands (quartz sand,Support services to other,1,1
Silica sands (quartz sand,Sheet metal forming of st,1,1
Saddlery and harness for ,Brooms and brushes of twi,9,1
Saddlery and harness for ,Sub-contracted operations,1,1
Saddlery and harness for ,"T-shirts, singlets and ve",7,1
Saddlery and harness for ,"Men’s or boys’ raincoats,",7,1
Saddlery and harness for ,"Cartons, boxes and cases,",7,1
Saddlery and harness for ,Woven carpets and other w,6,1
Saddlery and harness for ,Men’s or boys’ jackets an,4,1
Saddlery and harness for ,Women’s or girls’ blouses,3,1
Saddlery and harness for ,Women’s or girls’ trouser,5,1
Saddlery and harness for ,Men’s or boys’ trousers a,4,1
Saddlery and harness for ,Woman’s or girls’ raincoa,5,1
Saddlery and harness for ,Women’s or girls’ jackets,3,1
Saddlery and harness for ,"Men’s or boys’ jerseys, p",4,1
Saddlery and harness for ,Felt hats and other felt ,4,1
Saddlery and harness for ,Other men’s or boys’ appa,4,1
Saddlery and harness for ,"Men’s or boys’ ensembles,",4,1
Saddlery and harness for ,Table linen of knitted or,4,1
Saddlery and harness for ,Women’s or girls’ dresses,3,1
Saddlery and harness for ,Men’s or boys’ shirts (ex,3,1
Saddlery and harness for ,Men’s or boys’ other garm,3,1
Saddlery and harness for ,"Printed books, brochures,",3,1
Saddlery and harness for ,Sacks and bags of polymer,3,1
Saddlery and harness for ,"Shawls, scarves, mufflers",3,1
Saddlery and harness for ,Printing onto textiles,2,1
Saddlery and harness for ,Hand-woven tapestries of ,2,1
Saddlery and harness for ,Flat pallets and pallet c,2,1
Saddlery and harness for ,"Track-suits, of knitted o",2,1
Saddlery and harness for ,"Trunks, suitcases, vanity",2,1
Saddlery and harness for ,"Men’s or boys’ overcoats,",2,1
Saddlery and harness for ,Women’s or girls’ overcoa,2,1
Saddlery and harness for ,Seats convertible into be,2,1
Saddlery and harness for ,Sanitary towels and tampo,2,1
Saddlery and harness for ,Wooden furniture of a kin,2,1
Saddlery and harness for ,Tableware and kitchenware,2,1
Saddlery and harness for ,Articles of leather or co,1,1
Saddlery and harness for ,"Gloves, mittens and mitts",1,1
Saddlery and harness for ,Babies’ garments and clot,1,1
Saddlery and harness for ,"Watch straps, bands, brac",1,1
Saddlery and harness for ,Embroidery (without visib,1,1
Saddlery and harness for ,"Sacks and bags, of cotton",1,1
Saddlery and harness for ,Blankets and travelling r,1,1
Saddlery and harness for ,Toilet linen and kitchen ,1,1
Saddlery and harness for ,Metal furniture (excludin,1,1
Saddlery and harness for ,Games and toys n.e.c.,1,1
Saddlery and harness for ,Hard rubber or plastic co,1,1
Mattresses of cellular ru,"Plates, sheet, film, foil",22,1
Mattresses of cellular ru,"Printed books, brochures,",12,2
Mattresses of cellular ru,"Cartons, boxes and cases,",12,1
Mattresses of cellular ru,Sacks and bags of polymer,11,1
Mattresses of cellular ru,Wooden bedroom furniture ,9,4
Mattresses of cellular ru,Wooden furniture of a kin,9,4
Mattresses of cellular ru,"Men’s or boys’ ensembles,",9,1
Mattresses of cellular ru,Men’s or boys’ trousers a,1,1
Mattresses of cellular ru,Sub-contracted operations,1,1
Mattresses of cellular ru,Hard rubber or plastic co,7,1
Mattresses of cellular ru,Woman’s or girls’ raincoa,6,1
Mattresses of cellular ru,"Registers, account books,",6,1
Mattresses of cellular ru,"Men’s or boys’ raincoats,",6,1
Mattresses of cellular ru,Men’s or boys’ other garm,6,1
Mattresses of cellular ru,Women’s or girls’ trouser,5,1
Mattresses of cellular ru,Flat pallets and pallet c,5,1
Mattresses of cellular ru,"Sacks and bags, of cotton",5,1
Mattresses of cellular ru,"Trunks, suitcases, vanity",5,3
Mattresses of cellular ru,Sleeping bags,5,3
Mattresses of cellular ru,Men’s or boys’ jackets an,2,1
Mattresses of cellular ru,"Printed newspapers, journ",5,1
Mattresses of cellular ru,Seats convertible into be,5,5
Mattresses of cellular ru,Women’s or girls’ dresses,5,1
Mattresses of cellular ru,Brooms and brushes of twi,5,1
Mattresses of cellular ru,Adhesives based on natura,4,1
Mattresses of cellular ru,"T-shirts, singlets and ve",4,1
Mattresses of cellular ru,Parts of seats,4,2
Mattresses of cellular ru,"Sacks and bags, with a ba",4,1
Mattresses of cellular ru,Wooden frames for paintin,4,1
Mattresses of cellular ru,Woven carpets and other w,4,1
Mattresses of cellular ru,Toilet linen and kitchen ,4,2
Mattresses of cellular ru,Table linen of knitted or,4,1
Mattresses of cellular ru,Hand-woven tapestries of ,4,3
Mattresses of cellular ru,Bed linen of knitted or c,4,2
Mattresses of cellular ru,Printing onto textiles,4,1
Mattresses of cellular ru,Metal parts (excluding tu,3,1
Mattresses of cellular ru,Embroidery (without visib,3,3
Mattresses of cellular ru,Women’s or girls’ blouses,3,1
Mattresses of cellular ru,Other graphic services,3,1
Mattresses of cellular ru,Women’s or girls’ jackets,2,1
Mattresses of cellular ru,"Men’s or boys’ jerseys, p",3,1
Mattresses of cellular ru,Felt hats and other felt ,3,1
Mattresses of cellular ru,Articles of leather or co,3,1
Mattresses of cellular ru,Blankets and travelling r,3,3
Mattresses of cellular ru,"Watch straps, bands, brac",3,1
Mattresses of cellular ru,Other men’s or boys’ appa,3,2
Mattresses of cellular ru,Curtains and interior bli,2,2
Mattresses of cellular ru,"Gloves, mittens and mitts",2,1
Mattresses of cellular ru,Men’s or boys’ shirts (ex,2,1
Mattresses of cellular ru,Slippers and other indoor,2,1
Mattresses of cellular ru,Leather uppers and parts ,2,1
Mattresses of cellular ru,Saddlery and harness for ,2,1
Mattresses of cellular ru,Other wooden furniture (e,2,1
Mattresses of cellular ru,Women’s or girls’ overcoa,2,1
Mattresses of cellular ru,Metal furniture (excludin,2,2
Mattresses of cellular ru,"Men’s or boys’ overcoats,",2,1
Mattresses of cellular ru,Kitchen furniture,2,2
Mattresses of cellular ru,Prepared skins of birds w,2,1
Mattresses of cellular ru,Tableware and kitchenware,2,1
Mattresses of cellular ru,Other headgear (except he,1,1
Mattresses of cellular ru,"Track-suits, of knitted o",1,1
Mattresses of cellular ru,Babies’ garments and clot,1,1
Mattresses of cellular ru,"Shawls, scarves, mufflers",1,1
Mattresses of cellular ru,Babies clothing and acces,1,1
Mattresses of cellular ru,"Floor-cloths, dish-cloths",1,2
Mattresses of cellular ru,"Tarpaulins, awnings and s",1,1
Mattresses of cellular ru,Mattress supports (includ,1,2
Mattresses of cellular ru,Upholstering services of ,1,1
Mattresses of cellular ru,Tooth brushes,1,1
Mattresses of cellular ru,Finishing services of new,1,1
Mattresses of cellular ru,Games and toys n.e.c.,1,1
Mattresses of cellular ru,"Paper knives, letter open",1,1
Mattresses of cellular ru,Sanitary towels and tampo,1,2
Finishing services of oth,Parts and accessories of ,1,1
Spades and shovels,Iron or steel equipment f,6,1
Spades and shovels,Safety seat belts,3,1
Spades and shovels,Rubber compounded with ca,3,1
Spades and shovels,Articles of cellular rubb,3,1
Spades and shovels,"Boards, panels, consoles,",2,1
Spades and shovels,Numerical control panels ,2,1
Spades and shovels,Electrical apparatus for ,2,1
Spades and shovels,Railway or tramway track ,2,1
Spades and shovels,Bodies for motor cars and,2,1
Spades and shovels,Heat exchange units,2,1
Spades and shovels,Parts of machinery of HS ,1,1
Spades and shovels,Sub-contracted operations,1,1
Spades and shovels,Rubber tubing not reinfor,2,1
Spades and shovels,Hard rubber or plastic co,2,1
Spades and shovels,Containers specially desi,1,1
Spades and shovels,Machines for treating met,1,1
Spades and shovels,Bumpers and parts thereof,1,1
Spades and shovels,Base metal hinges,1,1
Spades and shovels,Base stations,1,1
Spades and shovels,Parts of electrical telep,1,1
Spades and shovels,Multichip integrated circ,1,1
Spades and shovels,Endless bands for machine,1,1
Spades and shovels,Iron or steel hot-worked ,1,1
Spades and shovels,Parts of air and vacuum p,1,1
Spades and shovels,Other electric conductors,1,1
Spades and shovels,Test benches,1,1
Spades and shovels,Parts and accessories for,1,1
Spades and shovels,Electric motors of an out,1,1
Spades and shovels,Parts and accessories of ,1,1
Spades and shovels,Rectifiers (excluding of ,1,1
Spades and shovels,"Appliance cords, extensio",1,1
Spades and shovels,Machines with translation,1,1
Spades and shovels,Hydraulic cylinders,1,1
Spades and shovels,Searchlights and spotligh,1,1
Spades and shovels,Plugs and sockets for coa,1,1
Spades and shovels,"Trunking, ducting and cab",1,1
Plugs and sockets for coa,Metal parts (excluding tu,89,1
Plugs and sockets for coa,Hard rubber or plastic co,76,7
Plugs and sockets for coa,"Boards, panels, consoles,",49,9
Plugs and sockets for coa,"Cartons, boxes and cases,",48,1
Plugs and sockets for coa,Repair and maintenance of,1,1
Plugs and sockets for coa,Machines for treating met,38,3
Plugs and sockets for coa,Rock drilling or earth bo,37,4
Plugs and sockets for coa,Railway or tramway track ,35,7
Plugs and sockets for coa,Wet painting and varnishi,35,1
Plugs and sockets for coa,The order of part operati,34,1
Plugs and sockets for coa,Iron or steel equipment f,34,3
Plugs and sockets for coa,Repair and maintenance se,1,1
Plugs and sockets for coa,Bumpers and parts thereof,25,2
Plugs and sockets for coa,Electrical apparatus for ,4,3
Plugs and sockets for coa,Metallic coating by immer,24,1
Plugs and sockets for coa,Parts of electrical signa,24,6
Plugs and sockets for coa,Sacks and bags of polymer,23,1
Plugs and sockets for coa,Other electric conductors,22,7
Plugs and sockets for coa,Numerical control panels ,18,12
Plugs and sockets for coa,"Spools, cops, bobbins and",18,1
Plugs and sockets for coa,"Non-cellular plates, shee",17,1
Plugs and sockets for coa,Parts for machines for as,17,1
Plugs and sockets for coa,Cold-rolled narrow strip ,17,1
Plugs and sockets for coa,Parts of machinery of HS ,2,2
Plugs and sockets for coa,Self-adhesive printed lab,16,4
Plugs and sockets for coa,"Plastic boxes, cases, cra",16,2
Plugs and sockets for coa,Flat pallets and pallet c,16,1
Plugs and sockets for coa,Sub-contracted operations,1,1
Plugs and sockets for coa,Repair services of tarpau,15,1
Plugs and sockets for coa,Wrought steel shaped free,15,1
Plugs and sockets for coa,Screws and bolts for fixi,14,4
Plugs and sockets for coa,Articles of cellular rubb,14,3
Plugs and sockets for coa,Parts and accessories of ,1,2
Plugs and sockets for coa,Ferrite cores of transfor,14,2
Plugs and sockets for coa,"Trunking, ducting and cab",14,7
Plugs and sockets for coa,Installation services of ,1,1
Plugs and sockets for coa,"Other plates..., of polym",13,2
Plugs and sockets for coa,"Folding cartons, boxes an",13,1
Plugs and sockets for coa,Parts of gas turbines (ex,13,1
Plugs and sockets for coa,Copper and copper alloy p,13,1
Plugs and sockets for coa,"Aluminium bars, rods and ",13,1
Plugs and sockets for coa,Parts and accessories for,1,1
Plugs and sockets for coa,"Teleferics, chair-lifts, ",13,1
Plugs and sockets for coa,Endless bands for machine,13,1
Plugs and sockets for coa,"Aluminium plates, sheets ",13,1
Plugs and sockets for coa,Electric motors of an out,13,3
Plugs and sockets for coa,Multichip integrated circ,12,6
Plugs and sockets for coa,"Files, rasps and similar ",12,4
Plugs and sockets for coa,Rubber compounded with ca,12,1
Plugs and sockets for coa,Iron or steel hot-worked ,12,4
Plugs and sockets for coa,Instruments and apparatus,12,1
Plugs and sockets for coa,Iron or steel spring wash,12,4
Plugs and sockets for coa,Tapping tools for working,11,2
Plugs and sockets for coa,"Appliance cords, extensio",10,7
Plugs and sockets for coa,Inductors for discharge l,10,6
Plugs and sockets for coa,Measuring transformers ha,10,2
Plugs and sockets for coa,Safety seat belts,10,1
Plugs and sockets for coa,"Flexible tubes, pipes and",9,2
Plugs and sockets for coa,Wooden furniture of a kin,9,1
Plugs and sockets for coa,Machines with translation,9,4
Plugs and sockets for coa,Test benches,9,4
Plugs and sockets for coa,Parts of bearing housings,8,3
Plugs and sockets for coa,"Cases, boxes, crates, dru",8,1
Plugs and sockets for coa,Rectifiers (excluding of ,8,7
Plugs and sockets for coa,Fixed electrical resistor,8,5
Plugs and sockets for coa,Searchlights and spotligh,8,5
Plugs and sockets for coa,Metal furniture (excludin,7,1
Plugs and sockets for coa,Fuses for a voltage ≤ 1 k,7,6
Plugs and sockets for coa,"Plastic parts for lamps, ",7,1
Plugs and sockets for coa,Adhesives based on natura,7,1
Plugs and sockets for coa,Telescopic and whip-type ,7,1
Plugs and sockets for coa,"Washers, rivets, cotters,",7,4
Plugs and sockets for coa,Base metal hinges,6,3
Plugs and sockets for coa,Parts of electrical telep,6,4
Plugs and sockets for coa,Parts of machinery and ap,6,1
Plugs and sockets for coa,Builder’s fittings and mo,6,2
Plugs and sockets for coa,Parts for air conditionin,6,2
Plugs and sockets for coa,Insulated ignition wiring,5,1
Plugs and sockets for coa,Parts suitable for use so,2,1
Plugs and sockets for coa,Plastic fittings for furn,5,1
Plugs and sockets for coa,"Other recording media, in",5,1
Plugs and sockets for coa,"Parts for converters, lad",5,1
Plugs and sockets for coa,Base stations,5,5
Plugs and sockets for coa,"Plastic carboys, bottles,",5,1
Plugs and sockets for coa,Monofilament with any cro,5,1
Plugs and sockets for coa,"Plates, sheet, film, foil",5,1
Plugs and sockets for coa,Fixed electrical capacito,5,3
Plugs and sockets for coa,Electrical insulators (ex,5,1
Plugs and sockets for coa,Fuses for a voltage > 1 k,5,4
Plugs and sockets for coa,Artificial guts (sausage ,4,1
Plugs and sockets for coa,Armoured or reinforced sa,4,1
Plugs and sockets for coa,Self-adhesive strips of p,4,2
Plugs and sockets for coa,Rubber transmission belts,4,1
Plugs and sockets for coa,Other wooden furniture (e,4,1
Plugs and sockets for coa,Hydraulic cylinders,4,1
Plugs and sockets for coa,Heat exchange units,4,1
Plugs and sockets for coa,Electronic gas or smoke a,4,1
Plugs and sockets for coa,Cigarette paper in rolls ,4,1
Plugs and sockets for coa,Insulated coaxial cables ,4,2
Plugs and sockets for coa,"Printers, capable of conn",4,1
Plugs and sockets for coa,Parts of radar apparatus ,3,2
Plugs and sockets for coa,Barbed wire and barbed wi,3,1
Plugs and sockets for coa,"Cold-rolled sheet, plate ",3,1
Plugs and sockets for coa,Hot-rolled flat products ,3,1
Plugs and sockets for coa,"Plastic reservoirs, tanks",3,1
Plugs and sockets for coa,"Self-adhesive plates, she",3,3
Plugs and sockets for coa,"Base metal hooks, eyes, e",3,1
Plugs and sockets for coa,Chandeliers and other ele,3,1
Plugs and sockets for coa,Filament lamps for motorc,3,1
Plugs and sockets for coa,Tungsten halogen filament,3,2
Plugs and sockets for coa,Parts for centrifuges and,3,1
Plugs and sockets for coa,"Submersible motor, single",3,1
Plugs and sockets for coa,Parts of air and vacuum p,3,2
Plugs and sockets for coa,Parts of pumps for liquid,3,2
Plugs and sockets for coa,Parts for boring or sinki,3,2
Plugs and sockets for coa,Numerically controlled be,3,1
Plugs and sockets for coa,Bodies for motor cars and,3,1
Plugs and sockets for coa,Rubber tubing not reinfor,3,1
Plugs and sockets for coa,"Windows, french windows a",3,1
Plugs and sockets for coa,Multilayer printed circui,2,3
Plugs and sockets for coa,Relays for a voltage ≤ 60,2,6
Plugs and sockets for coa,Other units of automatic ,2,2
Plugs and sockets for coa,Other digital automatic d,2,1
Plugs and sockets for coa,Machinery and apparatus f,1,1
Plugs and sockets for coa,Vehicle compression-ignit,2,1
Plugs and sockets for coa,Spark-ignition reciprocat,2,1
Plugs and sockets for coa,Pneumatic elevators and c,2,1
Plugs and sockets for coa,Cylinders for calendering,2,1
Plugs and sockets for coa,Combine harvester-threshe,2,1
Plugs and sockets for coa,Gear boxes for stationary,2,2
Plugs and sockets for coa,"Hydraulic systems, with c",2,2
Plugs and sockets for coa,Base metal padlocks,2,2
Plugs and sockets for coa,"Stranded wire, ropes and ",2,2
Plugs and sockets for coa,Bulldozer or angledozer b,1,1
Plugs and sockets for coa,Electrical or battery ope,1,1
Plugs and sockets for coa,"Paint brushes, distemperi",1,2
Plugs and sockets for coa,"Polyamide -6, -11, -12, -",1,1
Plugs and sockets for coa,"Polyacetals, in primary f",1,1
Plugs and sockets for coa,"Polypropylene, in primary",1,1
Plugs and sockets for coa,Storage units,1,1
Plugs and sockets for coa,Microphones and their sta,1,1
Plugs and sockets for coa,"Tanks, casks, drums, cans",1,1
Plugs and sockets for coa,"Nails, tacks, drawing pin",1,1
Plugs and sockets for coa,Pigments and preparations,1,1
Plugs and sockets for coa,Copper tubes and pipes,1,2
Plugs and sockets for coa,"Silver, unwrought or in p",1,1
Plugs and sockets for coa,Flat-rolled products of i,1,1
Plugs and sockets for coa,"Slag wool, rock wool and ",1,1
Plugs and sockets for coa,"Flanges, of steel (exclud",1,2
Plugs and sockets for coa,"Clad, cold-rolled narrow ",1,1
Plugs and sockets for coa,"Tinplate, other tinned sh",1,1
Plugs and sockets for coa,"Tubes and pipes, of circu",1,2
Plugs and sockets for coa,Bearing housings incorpor,1,2
Plugs and sockets for coa,"Parts of agricultural, ho",1,1
Plugs and sockets for coa,Fire extinguishers,1,2
Plugs and sockets for coa,Automatic circuit breaker,1,3
Plugs and sockets for coa,Indicator panels incorpor,1,2
Plugs and sockets for coa,Carbon electrodes for fur,1,1
Plugs and sockets for coa,Parts of machines and app,1,1
Parts of gas turbines (ex,Turned metal parts for ta,81,1
Parts of gas turbines (ex,Iron or steel equipment f,74,1
Parts of gas turbines (ex,Household gas tariff (to ,45,1
Parts of gas turbines (ex,Repair and maintenance of,1,1
Parts of gas turbines (ex,General electric price ta,39,1
Parts of gas turbines (ex,Machines for treating met,33,1
Parts of gas turbines (ex,Sub-contracted operations,1,1
Parts of gas turbines (ex,Bumpers and parts thereof,25,2
Parts of gas turbines (ex,Railway or tramway track ,21,2
Parts of gas turbines (ex,Moulding boxes for metal ,19,1
Parts of gas turbines (ex,Numerical control panels ,18,1
Parts of gas turbines (ex,"Boards, panels, consoles,",16,1
Parts of gas turbines (ex,Hard rubber or plastic co,16,1
Parts of gas turbines (ex,"Aluminium plates, sheets ",16,2
Parts of gas turbines (ex,Parts of machinery of HS ,2,1
Parts of gas turbines (ex,"Other plates..., of polym",13,1
Parts of gas turbines (ex,Unwrought non-alloy alumi,13,1
Parts of gas turbines (ex,Plugs and sockets for coa,12,1
Parts of gas turbines (ex,Parts for machines for as,12,1
Parts of gas turbines (ex,Parts suitable for use so,3,1
Parts of gas turbines (ex,Parts for steam turbines ,11,1
Parts of gas turbines (ex,Plastic parts for machine,11,1
Parts of gas turbines (ex,Liquid dielectric transfo,10,1
Parts of gas turbines (ex,"Files, rasps and similar ",10,1
Parts of gas turbines (ex,Ferrite cores of transfor,10,1
Parts of gas turbines (ex,"Hydraulic systems, with c",9,1
Parts of gas turbines (ex,Screws and bolts for fixi,9,2
Parts of gas turbines (ex,Parts and accessories for,1,1
Parts of gas turbines (ex,"Spools, cops, bobbins and",9,1
Parts of gas turbines (ex,Parts for air conditionin,9,2
Parts of gas turbines (ex,Machinery and apparatus f,3,1
Parts of gas turbines (ex,Test benches,8,1
Parts of gas turbines (ex,Parts of pumps for liquid,8,2
Parts of gas turbines (ex,Aluminium foil of a thick,7,1
Parts of gas turbines (ex,Tungsten (wolfram) and ar,7,1
Parts of gas turbines (ex,"Transformers, n.e.c., hav",7,1
Parts of gas turbines (ex,Articles of cellular rubb,7,1
Parts of gas turbines (ex,Electronic gas or smoke a,7,1
Parts of gas turbines (ex,Searchlights and spotligh,6,1
Parts of gas turbines (ex,Base stations,6,1
Parts of gas turbines (ex,"Submersible motor, single",6,1
Parts of gas turbines (ex,Safety seat belts,6,1
Parts of gas turbines (ex,Hydraulic cylinders,6,1
Parts of gas turbines (ex,Parts and accessories of ,3,1
Parts of gas turbines (ex,"Non-cellular plates, shee",5,1
Parts of gas turbines (ex,"Cold-rolled sheet, plate ",5,1
Parts of gas turbines (ex,Heat exchange units,5,1
Parts of gas turbines (ex,Rubber compounded with ca,5,1
Parts of gas turbines (ex,Multi-phase AC motors of ,5,1
Parts of gas turbines (ex,Parts for boring or sinki,5,1
Parts of gas turbines (ex,Fire extinguishers,5,1
Parts of gas turbines (ex,Parts of air and vacuum p,5,1
Parts of gas turbines (ex,"Trunking, ducting and cab",5,1
Parts of gas turbines (ex,Pneumatic elevators and c,5,1
Parts of gas turbines (ex,Gear boxes for stationary,5,1
Parts of gas turbines (ex,Adhesives based on natura,4,1
Parts of gas turbines (ex,Artificial guts (sausage ,4,1
Parts of gas turbines (ex,"Parts of agricultural, ho",4,1
Parts of gas turbines (ex,Parts of bearing housings,4,1
Parts of gas turbines (ex,Cylinders for calendering,4,1
Parts of gas turbines (ex,Tungsten halogen filament,4,2
Parts of gas turbines (ex,Electrical apparatus for ,4,1
Parts of gas turbines (ex,Rectifiers (excluding of ,4,1
Parts of gas turbines (ex,Inductors for discharge l,4,1
Parts of gas turbines (ex,Machines with translation,4,1
Parts of gas turbines (ex,"Bars and rods, of non-all",3,1
Parts of gas turbines (ex,"Flanges, of steel (exclud",3,1
Parts of gas turbines (ex,"Tubes and pipes, of circu",3,1
Parts of gas turbines (ex,"Tubes and pipes, of non-c",3,1
Parts of gas turbines (ex,"Tanks, casks, drums, cans",1,1
Parts of gas turbines (ex,Electric motors of an out,3,1
Parts of gas turbines (ex,"Printers, capable of conn",3,1
Parts of gas turbines (ex,Parts of electrical telep,3,1
Parts of gas turbines (ex,"Plastic carboys, bottles,",3,1
Parts of gas turbines (ex,Multichip integrated circ,3,1
Parts of gas turbines (ex,Electronic thermostats,3,1
Parts of gas turbines (ex,Base metal hinges,3,1
Parts of gas turbines (ex,Parts for electric filame,3,1
Parts of gas turbines (ex,Fluorescent hot cathode d,3,1
Parts of gas turbines (ex,Non-automatic lubricating,3,1
Parts of gas turbines (ex,Sealed beam lamp units,3,1
Parts of gas turbines (ex,Filament lamps for motorc,3,2
Parts of gas turbines (ex,Pressure-reducing valves ,2,1
Parts of gas turbines (ex,"Appliance cords, extensio",3,1
Parts of gas turbines (ex,Bearing housings incorpor,3,1
Parts of gas turbines (ex,Cranks and crankshafts,3,1
Parts of gas turbines (ex,Parts of turbo-jets or tu,3,1
Parts of gas turbines (ex,Electrical or battery ope,3,1
Parts of gas turbines (ex,"Chassis for trailers, sem",3,1
Parts of gas turbines (ex,Other trailers and semi-t,3,1
Parts of gas turbines (ex,Other electric conductors,3,1
Parts of gas turbines (ex,Rubber transmission belts,3,1
Parts of gas turbines (ex,"Plates, sheet, film, foil",3,1
Parts of gas turbines (ex,Electronic flow meters (e,2,1
Parts of gas turbines (ex,Fuses for a voltage ≤ 1 k,2,1
Parts of gas turbines (ex,Automatic circuit breaker,2,2
Parts of gas turbines (ex,"Parts for converters, lad",2,1
Parts of gas turbines (ex,Metal furniture (excludin,2,1
Parts of gas turbines (ex,"Balls, needles and roller",2,1
Parts of gas turbines (ex,Iron or steel roller chai,2,1
Parts of gas turbines (ex,Aluminium tubes and pipes,2,1
Parts of gas turbines (ex,"Plastic reservoirs, tanks",2,1
Parts of gas turbines (ex,Endless bands for machine,2,1
Parts of gas turbines (ex,Iron or steel hot-worked ,2,1
Parts of gas turbines (ex,Bodies for motor cars and,1,1
Parts of gas turbines (ex,Containers specially desi,1,1
Parts of gas turbines (ex,Iron or steel spring wash,1,1
Parts of gas turbines (ex,Rubber tubing not reinfor,1,1
Parts of gas turbines (ex,Monofilament with any cro,1,1
Parts of gas turbines (ex,"Flexible tubes, pipes and",1,1
Parts of gas turbines (ex,Flat semi-finished produc,1,1
Parts of gas turbines (ex,"Hot-rolled round bars, of",1,1
Parts of gas turbines (ex,"Cases, boxes, crates, dru",1,1
Parts of gas turbines (ex,Oil or petrol-filters for,1,1
Parts of gas turbines (ex,Gaskets and similar joint,1,1
Parts of gas turbines (ex,Parts of primary cells an,1,1
Tea in immediate packings,Medicaments of alkaloids ,5,3
Tea in immediate packings,Sub-contracted operations,1,1
Tea in immediate packings,Herbal Infusions,1,3
Tea in immediate packings,Distilled and conductivit,1,1
Tea in immediate packings,"Beauty, make-up and skin ",1,2
Ureines and their derivat,Treatment and distributio,8,1
Ureines and their derivat,"Diazo-, azo- or azoxy-com",8,1
Ureines and their derivat,Distribution services of ,3,1
Ureines and their derivat,Acrylic acid and its salt,6,3
Ureines and their derivat,Steam and hot water suppl,6,1
Ureines and their derivat,Denatured ethyl alcohol a,6,1
Ureines and their derivat,Acyclic ethers and their ,6,1
Ureines and their derivat,Methylamine; di- or trime,5,1
Ureines and their derivat,Hydrogen chloride (hydroc,4,1
Ureines and their derivat,Medicaments of alkaloids ,3,2
Ureines and their derivat,Sodium hydroxide (caustic,3,1
Ureines and their derivat,Rodenticides and other pl,2,1
Ureines and their derivat,Herbicides based on pheno,2,1
Ureines and their derivat,Disinfectants based on qu,2,1
Ureines and their derivat,Fluorides; fluorosilicate,1,1
Fixed electrical resistor,Hard rubber or plastic co,30,2
Fixed electrical resistor,Bumpers and parts thereof,18,2
Fixed electrical resistor,"Boards, panels, consoles,",18,3
Fixed electrical resistor,Repair and maintenance of,1,1
Fixed electrical resistor,Railway or tramway track ,13,3
Fixed electrical resistor,Rock drilling or earth bo,12,1
Fixed electrical resistor,Tableware and kitchenware,10,1
Fixed electrical resistor,Plugs and sockets for coa,9,5
Fixed electrical resistor,Parts and accessories for,4,1
